*  <closed: {SIGIR, CIKM, SIGIR Forum, }  generators: {SIGIR, CIKM, }{SIGIR Forum, }> <closed: {Inf. Retr., }  generators: > SUP_IN_POS:23 SUP_IN_NEG:0
*  <closed: {SIGIR, SIGIR Forum, }  generators: {SIGIR, }{SIGIR Forum, }> <closed: {TREC, SIGIR, CIKM, }  generators: {SIGIR, }> SUP_IN_POS:20 SUP_IN_NEG:0
*  <closed: {SIGIR, SIGIR Forum, }  generators: {SIGIR, }> <closed: {SIGIR, CIKM, ECIR, }  generators: {CIKM, ECIR, }{SIGIR, CIKM, }{SIGIR, ECIR, }> SUP_IN_POS:20 SUP_IN_NEG:0
*  <closed: {SIGIR, SIGIR Forum, }  generators: {SIGIR, }> <closed: {CIKM, SIGIR Forum, }  generators: {CIKM, }{SIGIR Forum, }> SUP_IN_POS:24 SUP_IN_NEG:0
*  <closed: {SIGIR, JASIST, }  generators: {SIGIR, }> <closed: {ECIR, }  generators: > SUP_IN_POS:23 SUP_IN_NEG:0
*  <closed: {CIKM, ECIR, }  generators: {CIKM, }{ECIR, }> <closed: {CIKM, ECIR, }  generators: {CIKM, }> SUP_IN_POS:20 SUP_IN_NEG:0
*  <closed: {CIKM, ECIR, }  generators: {CIKM, }> <closed: {CIKM, ECIR, }  generators: {CIKM, }{ECIR, }> SUP_IN_POS:20 SUP_IN_NEG:0
*  <closed: {SIGIR, CIKM, Inf. Retr., }  generators: {SIGIR, CIKM, }> <closed: {ECIR, }  generators: > SUP_IN_POS:20 SUP_IN_NEG:0
*  <closed: {RIAO, }  generators: > <closed: {SIGIR, SIGIR Forum, }  generators: {SIGIR, }> SUP_IN_POS:21 SUP_IN_NEG:0
*  <closed: {RIAO, }  generators: > <closed: {TREC, SIGIR, }  generators: {SIGIR, }> SUP_IN_POS:26 SUP_IN_NEG:0
*  <closed: {SIGIR, Inf. Retr., }  generators: {SIGIR, }> <closed: {ACM Trans. Inf. Syst., }  generators: > SUP_IN_POS:25 SUP_IN_NEG:0
*  <closed: {Inf. Retr., }  generators: > <closed: {SIGIR, SIGIR Forum, }  generators: {SIGIR, }> SUP_IN_POS:24 SUP_IN_NEG:0
*  <closed: {CIKM, Inf. Retr., }  generators: {CIKM, }> <closed: {Inf. Retr., }  generators: > SUP_IN_POS:20 SUP_IN_NEG:0
*  <closed: {SIGIR, Inf. Retr., }  generators: {SIGIR, }> <closed: {SIGIR Forum, }  generators: > SUP_IN_POS:26 SUP_IN_NEG:0
*  <closed: {ACM Trans. Inf. Syst., }  generators: > <closed: {SIGIR, SIGIR Forum, }  generators: {SIGIR, }> SUP_IN_POS:24 SUP_IN_NEG:0
*  <closed: {ACM Trans. Inf. Syst., }  generators: > <closed: {CIKM, ECIR, }  generators: {CIKM, }> SUP_IN_POS:21 SUP_IN_NEG:0
*  <closed: {ACM Trans. Inf. Syst., }  generators: > <closed: {SIGIR, ECIR, }  generators: {SIGIR, }> SUP_IN_POS:26 SUP_IN_NEG:0
*  <closed: {SIGIR, ACM Trans. Inf. Syst., }  generators: {SIGIR, }> <closed: {ECIR, }  generators: > SUP_IN_POS:20 SUP_IN_NEG:0
*  <closed: {ACM Trans. Inf. Syst., }  generators: > <closed: {TREC, SIGIR, }  generators: {SIGIR, }> SUP_IN_POS:22 SUP_IN_NEG:0
